figure_id,scope,research_question_id,master_sample_id,sample_order,station,target_analyte,substrate_family,substrate_label,substrate_order,instrument,instrument_short,instrument_order,replicate_count,observed,display_level,group_label
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-2,M2,4,3,True,3,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-2,P2,7,2,True,2,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-3,P3,8,2,True,2,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-1,R1,9,2,True,2,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-2,M2,4,1,True,1,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-1,R1,9,1,True,1,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-2,P2,7,2,True,2,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,59,5,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-2,M2,4,2,True,2,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-2,P2,7,3,True,3,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-1,R1,9,2,True,2,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,62,6,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-2,M2,4,1,True,1,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-2,P2,7,1,True,1,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-1,R1,9,1,True,1,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,67,7,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,pSERS_Metrohm_silver,pSERS silver,1,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-2,M2,4,1,True,1,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-2,P2,7,1,True,1,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-1,R1,9,1,True,1,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-1,A1,1,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Agilent-3,A3,2,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-1,M1,3,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-2,M2,4,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Mira-3,M3,5,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-1,P1,6,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-2,P2,7,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,Pendar-3,P3,8,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-1,R1,9,0,False,0,CWA: 4-NP
F44,S,RQ-S07,72,8,cwa,4_nitrophenol,GaN_polymer,GaN / polymer,4,RMX-2,R2,10,0,False,0,CWA: 4-NP
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-1,A1,1,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Agilent-3,A3,2,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Mira-1,M1,3,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Mira-2,M2,4,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Mira-3,M3,5,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-1,P1,6,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-2,P2,7,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,Pendar-3,P3,8,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,RMX-1,R1,9,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,pSERS_Metrohm_silver,pSERS silver,1,RMX-2,R2,10,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-1,A1,1,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Agilent-3,A3,2,2,True,2,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-1,M1,3,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-2,M2,4,3,True,3,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Mira-3,M3,5,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-1,P1,6,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-2,P2,7,3,True,3,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,Pendar-3,P3,8,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-1,R1,9,2,True,2,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,H_SERS_H_Kit,H-SERS H-Kit,2,RMX-2,R2,10,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-1,A1,1,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Agilent-3,A3,2,1,True,1,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-1,M1,3,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-2,M2,4,1,True,1,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Mira-3,M3,5,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-1,P1,6,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-2,P2,7,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,Pendar-3,P3,8,0,False,0,CWA: EtOH
F44,S,RQ-S07,52,9,cwa,ethanol,NRC_Canadian_SERS,NRC Canadian SERS,3,RMX-1,R1,9,1,True,1,CWA: EtOH
